iter	Passed	Remaining
659	18506	93655
660	18532	93613
661	18558	93579
662	18588	93556
663	18622	93562
664	18652	93543
665	18679	93511
666	18708	93485
667	18734	93448
668	18761	93415
669	18789	93384
670	18818	93365
671	18846	93334
672	18871	93292
673	18899	93262
674	18928	93238
675	18958	93219
676	18988	93204
677	19022	93205
678	19052	93186
679	19082	93165
680	19115	93161
681	19144	93141
682	19171	93105
683	19197	93068
684	19231	93068
685	19262	93052
686	19291	93029
687	19318	92996
688	19342	92951
689	19369	92918
690	19395	92881
691	19429	92878
692	19455	92841
693	19482	92810
694	19510	92780
695	19536	92743
696	19562	92706
697	19589	92669
698	19620	92656
699	19647	92622
700	19674	92589
701	19700	92554
702	19728	92523
703	19759	92509
704	19786	92476
705	19817	92461
706	19843	92425
707	19870	92389
708	19898	92361
709	19923	92320
710	19950	92289
711	19976	92251
712	20007	92235
713	20034	92204
714	20061	92169
715	20088	92139
716	20114	92100
717	20141	92065
718	20170	92043
719	20215	92093
720	20241	92053
721	20268	92021
722	20297	91999
723	20322	91957
724	20348	91919
725	20373	91876
726	20403	91856
727	20430	91824
728	20455	91785
729	20481	91745
730	20508	91711
731	20536	91685
732	20564	91658
733	20595	91642
734	20622	91610
735	20647	91567
736	20675	91537
737	20702	91504
738	20727	91466
739	20755	91437
740	20785	91418
741	20813	91387
742	20841	91360
743	20867	91322
744	20892	91283
745	20918	91244
746	20950	91236
747	20984	91231
748	21013	91210
749	21043	91189
750	21073	91170
751	21100	91135
752	21130	91115
753	21158	91089
754	21192	91086
755	21222	91067
756	21252	91045
757	21281	91022
758	21312	91004
759	21341	90981
760	21369	90952
761	21399	90935
762	21427	90903
763	21453	90869
764	21479	90833
765	21506	90799
766	21532	90763
767	21577	90803
768	21610	90798
769	21639	90775
770	21669	90751
771	21700	90739
772	21731	90720
773	21761	90699
774	21790	90676
775	21820	90655
776	21850	90635
777	21881	90619
778	21909	90591
779	21938	90567
780	21967	90541
781	21997	90520
782	22031	90518
783	22060	90492
784	22087	90461
785	22117	90441
786	22149	90425
787	22178	90402
788	22207	90378
789	22240	90370
790	22271	90351
791	22299	90325
792	22329	90301
793	22363	90299
794	22392	90274
795	22422	90254
796	22455	90242
797	22482	90213
798	22513	90196
799	22543	90175
800	22572	90150
801	22601	90122
802	22632	90107
803	22664	90095
804	22692	90063
805	22719	90031
806	22747	90003
807	22774	89971
808	22800	89935
809	22827	89899
810	22859	89886
811	22886	89853
812	22911	89816
813	22942	89796
814	22972	89774
815	23001	89749
816	23032	89732
817	23067	89732
818	23096	89707
819	23126	89686
820	23156	89662
821	23184	89636
822	23215	89617
823	23245	89595
824	23280	89592
825	23305	89553
826	23334	89527
827	23360	89493
828	23387	89460
829	23413	89422
830	23438	89383
831	23471	89374
832	23498	89339
833	23524	89304
834	23550	89267
835	23575	89227
836	23602	89191
837	23628	89156
838	23661	89148
839	23687	89108
840	23713	89075
841	23743	89051
842	23773	89029
843	23800	88998
844	23825	88957
845	23856	88939
846	23882	88904
847	23907	88864
848	23933	88826
849	23958	88787
850	23985	88756
851	24013	88724
852	24044	88707
853	24070	88670
854	24095	88632
855	24123	88601
856	24149	88568
857	24175	88529
858	24199	88486
859	24229	88465
860	24256	88433
861	24296	88447
862	24321	88409
863	24346	88369
864	24371	88330
865	24398	88297
866	24429	88277
867	24455	88242
868	24481	88205
869	24506	88167
870	24535	88143
871	24561	88104
872	24587	88068
873	24617	88047
874	24642	88008
875	24669	87975
876	24694	87935
877	24721	87904
878	24747	87868
879	24773	87832
880	24805	87818
881	24831	87781
882	24857	87748
883	24882	87709
884	24909	87675
885	24936	87642
886	24963	87609
887	24993	87589
888	25019	87553
889	25044	87516
890	25073	87490
891	25101	87460
892	25126	87421
893	25151	87384
894	25182	87364
895	25208	87330
896	25234	87293
897	25260	87259
898	25291	87238
899	25318	87208
900	25346	87180
901	25385	87189
902	25417	87173
903	25446	87146
904	25476	87126
905	25509	87114
906	25535	87081
907	25563	87052
908	25599	87049
909	25625	87014
910	25653	86985
911	25678	86946
912	25703	86908
913	25729	86872
914	25757	86843
915	25788	86825
916	25814	86789
917	25841	86757
918	25871	86736
919	25897	86698
920	25924	86666
921	25950	86632
922	25981	86612
923	26008	86581
924	26035	86549
925	26062	86518
926	26088	86483
927	26118	86460
928	26149	86441
929	26180	86422
930	26206	86389
931	26232	86353
932	26260	86323
933	26287	86293
934	26317	86270
935	26348	86250
936	26378	86228
937	26408	86208
938	26436	86179
939	26463	86147
940	26489	86110
941	26516	86080
942	26543	86048
943	26574	86030
944	26601	85997
945	26627	85961
946	26654	85931
947	26685	85910
948	26713	85882
949	26741	85855
950	26775	85843
951	26802	85812
952	26828	85777
953	26855	85745
954	26881	85710
955	26908	85679
956	26937	85652
957	26967	85632
958	26992	85592
959	27016	85553
960	27041	85514
961	27067	85480
962	27093	85445
963	27120	85412
964	27150	85391
965	27177	85358
966	27205	85331
967	27234	85304
968	27261	85273
969	27287	85239
970	27316	85211
971	27346	85191
972	27372	85156
973	27399	85123
974	27425	85089
975	27453	85062
976	27482	85035
977	27509	85003
978	27541	84989
979	27568	84954
980	27597	84930
981	27624	84897
982	27650	84865
983	27679	84838
984	27705	84803
985	27738	84789
986	27764	84754
987	27790	84723
988	27816	84686
989	27843	84654
990	27871	84627
991	27898	84594
992	27930	84579
993	27973	84595
994	28003	84574
995	28032	84547
996	28061	84521
997	28089	84492
998	28117	84464
999	28152	84458
1000	28179	84427
1001	28213	84416
1002	28244	84396
1003	28276	84378
1004	28305	84354
1005	28337	84336
1006	28373	84332
1007	28404	84312
1008	28432	84283
1009	28462	84259
1010	28492	84237
1011	28523	84216
1012	28552	84192
1013	28584	84176
1014	28615	84156
1015	28646	84134
1016	28675	84108
1017	28701	84075
1018	28728	84043
1019	28753	84006
1020	28789	83998
1021	28832	84014
1022	28859	83983
1023	28886	83950
1024	28921	83941
1025	28966	83964
1026	29005	83965
1027	29039	83953
1028	29068	83928
1029	29095	83896
1030	29122	83865
1031	29148	83830
1032	29176	83800
1033	29206	83777
1034	29240	83765
1035	29265	83727
1036	29291	83694
1037	29318	83663
1038	29345	83630
1039	29371	83596
1040	29398	83564
1041	29432	83550
1042	29459	83519
1043	29486	83487
1044	29513	83456
1045	29540	83425
1046	29568	83395
1047	29597	83370
1048	29626	83344
1049	29654	83313
1050	29681	83282
1051	29708	83251
1052	29735	83218
1053	29762	83187
1054	29790	83158
1055	29821	83137
1056	29848	83107
1057	29883	83097
1058	29913	83074
1059	29945	83056
1060	29976	83036
1061	30008	83017
1062	30044	83012
1063	30074	82988
1064	30104	82962
1065	30133	82938
1066	30163	82915
1067	30196	82899
1068	30229	82883
1069	30275	82905
1070	30311	82895
1071	30340	82870
1072	30372	82851
1073	30400	82822
1074	30430	82798
1075	30463	82783
1076	30497	82771
1077	30523	82735
1078	30549	82700
1079	30577	82673
1080	30604	82640
1081	30629	82604
1082	30659	82579
1083	30693	82567
1084	30720	82535
1085	30746	82501
1086	30774	82471
1087	30801	82439
1088	30826	82402
1089	30855	82375
1090	30885	82353
1091	30912	82319
1092	30936	82281
1093	30964	82250
1094	30991	82219
1095	31018	82188
1096	31046	82157
1097	31076	82134
1098	31101	82098
1099	31127	82063
1100	31153	82028
1101	31178	81992
1102	31204	81957
1103	31229	81920
1104	31259	81896
1105	31287	81868
1106	31314	81836
1107	31343	81809
1108	31368	81773
1109	31394	81739
1110	31419	81700
1111	31449	81678
1112	31476	81647
1113	31503	81613
1114	31529	81581
1115	31556	81549
1116	31582	81514
1117	31607	81478
1118	31637	81454
1119	31664	81422
1120	31690	81387
1121	31716	81354
1122	31742	81320
1123	31768	81286
1124	31796	81256
1125	31825	81231
1126	31851	81196
1127	31875	81158
1128	31904	81132
1129	31934	81107
1130	31959	81072
1131	31985	81038
1132	32017	81019
1133	32044	80987
1134	32069	80951
1135	32095	80916
1136	32121	80882
1137	32146	80846
1138	32172	80812
1139	32202	80787
1140	32227	80752
1141	32253	80719
1142	32279	80684
1143	32307	80654
1144	32334	80625
1145	32361	80591
1146	32390	80565
1147	32415	80530
1148	32442	80499
1149	32468	80465
1150	32493	80429
1151	32519	80395
1152	32546	80363
1153	32577	80342
1154	32603	80309
1155	32629	80274
1156	32655	80241
1157	32683	80213
1158	32710	80181
1159	32735	80146
1160	32767	80125
1161	32792	80089
1162	32819	80058
1163	32844	80024
1164	32871	79991
1165	32896	79956
1166	32922	79921
1167	32952	79898
1168	32981	79872
1169	33008	79840
1170	33034	79806
1171	33059	79772
1172	33084	79736
1173	33111	79703
1174	33139	79675
1175	33165	79642
1176	33192	79610
1177	33216	79573
1178	33246	79549
1179	33272	79515
1180	33297	79480
1181	33327	79457
1182	33351	79418
1183	33378	79385
1184	33404	79353
1185	33430	79320
1186	33456	79286
1187	33483	79255
1188	33516	79238
1189	33542	79206
1190	33568	79172
1191	33595	79140
1192	33622	79109
1193	33649	79078
1194	33676	79047
1195	33706	79024
1196	33733	78992
1197	33758	78958
1198	33787	78931
1199	33813	78898
1200	33839	78865
1201	33866	78833
1202	33896	78809
1203	33922	78777
1204	33949	78745
1205	33975	78713
1206	34005	78688
1207	34032	78658
1208	34058	78625
1209	34089	78602
1210	34115	78569
1211	34142	78537
1212	34167	78503
1213	34194	78472
1214	34227	78454
1215	34252	78421
1216	34282	78396
1217	34310	78367
1218	34337	78335
1219	34363	78304
1220	34389	78270
1221	34414	78236
1222	34441	78204
1223	34472	78182
1224	34497	78147
1225	34523	78114
1226	34549	78082
1227	34577	78053
1228	34604	78021
1229	34629	77987
1230	34659	77963
1231	34685	77929
1232	34711	77896
1233	34737	77864
1234	34764	77832
1235	34789	77798
1236	34814	77763
1237	34847	77744
1238	34872	77710
1239	34898	77677
1240	34925	77646
1241	34950	77611
1242	34976	77578
1243	35005	77552
1244	35035	77528
1245	35063	77498
1246	35089	77466
1247	35117	77438
1248	35142	77404
1249	35168	77371
1250	35194	77337
1251	35223	77310
1252	35248	77277
1253	35274	77243
1254	35301	77212
1255	35326	77178
1256	35351	77143
1257	35379	77113
1258	35409	77090
1259	35434	77055
1260	35459	77021
1261	35486	76989
1262	35512	76958
1263	35539	76926
1264	35563	76890
1265	35594	76867
1266	35619	76834
1267	35647	76804
1268	35674	76774
1269	35701	76744
1270	35727	76711
1271	35751	76675
1272	35781	76649
1273	35807	76617
1274	35831	76582
1275	35857	76549
1276	35884	76517
1277	35915	76495
1278	35941	76464
1279	35972	76442
1280	35999	76411
1281	36025	76378
1282	36052	76348
1283	36077	76313
1284	36104	76283
1285	36130	76250
1286	36159	76224
1287	36188	76197
1288	36216	76169
1289	36243	76138
1290	36267	76102
1291	36294	76071
1292	36321	76041
1293	36352	76019
1294	36380	75991
1295	36405	75957
1296	36435	75932
1297	36463	75903
1298	36489	75872
1299	36515	75838
1300	36544	75813
1301	36572	75784
1302	36596	75748
1303	36623	75717
1304	36650	75689
1305	36676	75655
1306	36703	75625
1307	36733	75602
1308	36759	75568
1309	36785	75537
1310	36811	75504
1311	36840	75478
1312	36870	75453
1313	36905	75439
1314	36937	75419
1315	36967	75395
1316	36997	75370
1317	37026	75346
1318	37056	75320
1319	37085	75294
1320	37115	75270
1321	37148	75252
1322	37179	75229
1323	37208	75203
1324	37237	75177
1325	37265	75148
1326	37292	75118
1327	37319	75089
1328	37351	75068
1329	37379	75039
1330	37406	75009
1331	37433	74978
1332	37462	74952
1333	37489	74923
1334	37518	74896
1335	37551	74877
1336	37580	74852
1337	37608	74824
1338	37640	74803
1339	37670	74779
1340	37700	74754
1341	37730	74729
1342	37763	74711
1343	37793	74686
1344	37821	74658
1345	37850	74632
1346	37879	74605
1347	37908	74579
1348	37938	74555
1349	37973	74541
1350	38002	74514
1351	38033	74490
1352	38066	74472
1353	38096	74449
1354	38127	74425
1355	38157	74401
1356	38192	74387
1357	38220	74358
1358	38249	74331
1359	38287	74321
1360	38320	74304
1361	38350	74278
1362	38382	74258
1363	38419	74246
1364	38449	74223
1365	38481	74201
1366	38512	74178
1367	38542	74155
1368	38571	74127
1369	38599	74099
1370	38630	74077
1371	38658	74048
1372	38685	74017
1373	38712	73988
1374	38740	73959
1375	38767	73929
1376	38795	73901
1377	38829	73882
1378	38859	73858
1379	38889	73834
1380	38919	73808
1381	38950	73786
1382	38981	73763
1383	39012	73740
1384	39046	73722
1385	39075	73695
1386	39103	73667
1387	39135	73647
1388	39164	73620
1389	39192	73591
1390	39220	73563
1391	39252	73542
1392	39279	73511
1393	39305	73479
1394	39332	73448
1395	39361	73421
1396	39385	73386
1397	39413	73358
1398	39444	73335
1399	39469	73300
1400	39495	73268
1401	39519	73232
1402	39545	73199
1403	39572	73168
1404	39601	73143
1405	39634	73123
1406	39660	73090
1407	39686	73060
1408	39715	73033
1409	39743	73004
1410	39772	72978
1411	39797	72942
1412	39831	72925
1413	39858	72895
1414	39887	72869
1415	39916	72841
1416	39948	72820
1417	39977	72793
1418	40008	72771
1419	40057	72780
1420	40104	72785
1421	40131	72756
1422	40162	72732
1423	40193	72710
1424	40220	72679
1425	40250	72653
1426	40279	72626
1427	40311	72606
1428	40337	72573
1429	40369	72551
1430	40400	72529
1431	40429	72502
1432	40458	72475
1433	40484	72443
1434	40522	72433
1435	40553	72409
1436	40579	72377
1437	40605	72343
1438	40632	72313
1439	40659	72282
1440	40687	72255
1441	40719	72232
1442	40745	72201
1443	40772	72171
1444	40800	72141
1445	40828	72112
1446	40852	72077
1447	40878	72045
1448	40912	72026
1449	40942	72002
1450	40974	71980
1451	41002	71952
1452	41032	71926
1453	41062	71902
1454	41091	71875
1455	41124	71854
1456	41150	71822
1457	41179	71795
1458	41206	71765
1459	41232	71733
1460	41260	71704
1461	41286	71671
1462	41320	71653
1463	41350	71629
1464	41379	71601
1465	41407	71572
1466	41435	71544
1467	41464	71518
1468	41496	71495
1469	41528	71473
1470	41555	71443
1471	41582	71414
1472	41610	71384
1473	41637	71354
1474	41662	71320
1475	41688	71288
1476	41718	71262
1477	41746	71235
1478	41775	71208
1479	41799	71171
1480	41825	71140
1481	41852	71109
1482	41881	71082
1483	41913	71061
1484	41942	71033
1485	41969	71002
1486	41998	70977
1487	42026	70948
1488	42051	70913
1489	42080	70887
1490	42114	70868
1491	42144	70842
1492	42173	70815
1493	42203	70791
1494	42232	70764
1495	42263	70739
1496	42292	70713
1497	42325	70692
1498	42351	70660
1499	42379	70632
1500	42408	70606
1501	42434	70574
1502	42460	70542
1503	42487	70510
1504	42515	70483
1505	42544	70455
1506	42570	70423
1507	42596	70391
1508	42623	70361
1509	42654	70336
1510	42683	70311
1511	42717	70291
1512	42745	70263
1513	42774	70235
1514	42804	70210
1515	42835	70186
1516	42862	70157
1517	42889	70126
1518	42922	70106
1519	42953	70081
1520	42980	70051
1521	43010	70026
1522	43040	70000
1523	43071	69977
1524	43099	69948
1525	43130	69923
1526	43156	69893
1527	43183	69862
1528	43210	69831
1529	43234	69797
1530	43259	69763
1531	43285	69731
1532	43313	69702
1533	43344	69678
1534	43369	69645
1535	43395	69613
1536	43425	69587
1537	43451	69555
1538	43477	69525
1539	43507	69498
1540	43532	69465
1541	43561	69438
1542	43588	69408
1543	43614	69376
1544	43639	69343
1545	43666	69312
1546	43700	69293
1547	43728	69265
1548	43754	69233
1549	43778	69198
1550	43805	69167
1551	43832	69137
1552	43860	69109
1553	43891	69086
1554	43916	69052
1555	43940	69017
1556	43969	68989
1557	43996	68959
1558	44021	68927
1559	44046	68893
1560	44071	68859
1561	44101	68834
1562	44128	68804
1563	44154	68773
1564	44179	68739
1565	44204	68706
1566	44230	68674
1567	44257	68643
1568	44286	68617
1569	44312	68585
1570	44337	68552
1571	44363	68520
1572	44389	68488
1573	44416	68458
1574	44440	68424
1575	44470	68398
1576	44495	68366
1577	44521	68333
1578	44547	68302
1579	44572	68269
1580	44598	68237
1581	44624	68205
1582	44654	68180
1583	44684	68154
1584	44709	68121
1585	44734	68088
1586	44763	68061
1587	44791	68033
1588	44821	68007
1589	44855	67987
1590	44879	67953
1591	44905	67921
1592	44930	67889
1593	44960	67863
1594	44985	67830
1595	45010	67798
1596	45040	67772
1597	45066	67740
1598	45093	67710
1599	45121	67681
1600	45148	67652
1601	45174	67620
1602	45200	67589
1603	45230	67563
1604	45258	67535
1605	45283	67502
1606	45311	67474
1607	45341	67447
1608	45368	67418
1609	45395	67387
1610	45425	67362
1611	45450	67329
1612	45478	67301
1613	45507	67273
1614	45536	67247
1615	45562	67215
1616	45586	67182
1617	45615	67155
1618	45640	67121
1619	45664	67087
1620	45689	67054
1621	45715	67023
1622	45741	66991
1623	45764	66956
1624	45789	66923
1625	45821	66900
1626	45848	66870
1627	45874	66839
1628	45900	66807
1629	45932	66785
1630	45962	66759
1631	45989	66729
1632	46021	66706
1633	46048	66676
1634	46074	66646
1635	46101	66616
1636	46127	66584
1637	46152	66551
1638	46175	66516
1639	46198	66480
1640	46233	66463
1641	46264	66438
1642	46297	66416
1643	46322	66384
1644	46352	66358
1645	46382	66333
1646	46411	66305
1647	46442	66282
1648	46477	66263
1649	46508	66238
1650	46537	66212
1651	46567	66186
1652	46590	66150
1653	46618	66123
1654	46642	66089
1655	46671	66061
1656	46703	66039
1657	46729	66007
1658	46756	65977
1659	46781	65945
1660	46808	65915
1661	46834	65883
1662	46864	65858
1663	46887	65822
1664	46914	65792
1665	46944	65767
